<!--	comment. Can be removed/ignored	
?...	all tags beginning with &lt;? are for our typesetting program and can be removed/ignored	
?xm-replace_text	Ignore	
Media	A tag to incorporate files specified by the type attribute (audio, image or video). For images the topic and thumb values are the large image and thumbnail to include
Ref	A linking mechanism with the topic attribute indicating the target	
a	<alt-g><new>Anchor tag - may be used in audio for symbols also</new> or <old>alternative form</old></alt-g>
ab	abbreviation	
alpha_start	when starting a new letter of the alphabet, contains the letter. Useful for headers in printed publications.	
alt	alternative text. Used where alternatives exist in bold forms, e.g. an idiom which can be expressed in various forms
alt-g	alternative text group. A container for all the alternatives (alt elements) in a given bold form context
althead	usage note alternatives heading	
ar	container for synonyms listed underneath the headword	
ar-g	group of words on the arrow relating to strength of synonym	
arbd1	usage note bold style 1	
arcon	tag encloses information about abbreviation and past tense/past participle	
aref	audio reference
arit1	usage note italic style 1	
arl	Specification of tags for indexing (can be used to assign priority e.g. Headword is more significant than inflection)
ars-g	a group of ar tags	
audio	audio reference. Specifies a file or other resource containing the audio to be played
autocomp	Part of the indexing structure: How the bold items in the entry can be autocompleted
autocompletes	A container tag for the &lt;autocomp&gt; tags
b	bold style	
batch	A container tag for the dictionary	
bf	elementary level bold form
bf-g	elementary level bold form group. A container for all elements relating to a specific bf
bf-gs	elementary level bold forms group. A container for a sequence of bf-g elements and bf-related un and xr-gs elements. This allows idioms, phrasal verbs and other phrase items to be presented in any sequence in an elementary level dictionary
bf-l	a container for a sequence of equivalent bf elements
bk	A typesetting instruction that can be ignored (partners with &lt;ek&gt; to keep elements on a line)
block-g	Tag to force elements to display="block"
blocklabel-g	Tag to force label elements to display="block"
blockquote	XHTML-style block quote element
body	XHTML-style body element for main body of usage note box
bold-g	group of bold style	
bpt	bold in verb pattern	
br	typesetting instruction to force a line break
browse	Part of the indexing structure: A browsable description of the element including headword and part of speech
cap_in_xh	capital letter in cross reference	
cc	complement collocate	
cdill	A tag to incorporate an illustration in a digital product
cf	complement frame
cf-g	group cf elements
cfe	bilingual compound fixed expression form
cfe-g	compound fixed expression group. A container for all elements relating to a specific compound fixed expression
cfe-gs	compound fixed expressions group. A container for a sequence of cfe-g elements and related xr-gs elements
cfe-l	a container for a sequence of equivalent cfe elements
cl	collocate	
cl-g	group of examples within the patterns and collocations section	
cl_in_x	collocation in example	
clear	used for our typesetting program. Can be removed/ignored	
closed	The text that should show on a collapsible tag when closed - but be hidden when open
cm	editorially keyed non-structural text
cm2	editorially keyed non-structural text
cm_in_bf	editorially keyed non-structural text
cm_in_id	editorially keyed non-structural text
cm_in_pv	editorially keyed non-structural text
co	consonant doubling	
coll	Collocation
coll-g	A container for collocations
coll-gs	A container for coll-g
collsubhead	subheading within a collocations note box	
cop	consonant double 2	
cpd	compound form
